modelo,config,query_id,P@10,R@10,AP,NDCG@10
vetorial,nada,199,0.1,0.125,0.06033921420089873,0.0669385772458192
vetorial,nada,200,0.1,0.3333333333333333,0.14199730735725033,0.23463936301137825
vetorial,nada,201,0.4,0.25,0.2781977164914059,0.5114497648897467
vetorial,nada,202,0.2,0.14285714285714285,0.10130363550549358,0.08674908410699024
vetorial,nada,203,0.4,0.2857142857142857,0.1556677341987443,0.3934543782609027
vetorial,nada,204,0.0,0.0,0.035561719107418135,0.0
vetorial,nada,205,0.0,0.0,0.017404564097171102,0.0
vetorial,nada,206,0.2,0.6666666666666666,0.17927478376580172,0.37828944569408407
vetorial,nada,207,0.0,0.0,0.05139876878914312,0.0
vetorial,nada,208,0.5,0.8333333333333334,0.47200435729847495,0.6526934966311928
vetorial,nada,209,0.3,0.25,0.11624856960305374,0.16549087644382765
vetorial,nada,210,0.2,0.3333333333333333,0.3905332503371719,0.5367050799050339
vetorial,nada,211,0.1,0.09090909090909091,0.14767260465585205,0.06915853724156651
vetorial,nada,212,0.5,0.35714285714285715,0.3947608121926486,0.37311105109190484
vetorial,nada,213,0.5,0.45454545454545453,0.5091571975261814,0.6893986830673035
vetorial,nada,214,0.1,0.25,0.1619140633877397,0.24630238874073
vetorial,nada,215,0.0,0.0,0.015219907407407408,0.0
vetorial,nada,216,0.0,0.0,0.0019083969465648854,0.0
vetorial,nada,217,0.2,0.13333333333333333,0.14473775943284173,0.20980753140234676
vetorial,nada,218,0.0,0.0,0.10334833322678638,0.0
vetorial,nada,219,0.0,0.0,0.030185681005191835,0.0
vetorial,nada,220,0.1,0.05263157894736842,0.09152176587946252,0.03609358641829088
vetorial,nada,221,0.2,0.1111111111111111,0.08884179371109625,0.09799094631607551
vetorial,nada,222,0.3,0.3333333333333333,0.2685042836734455,0.3253310028008726
vetorial,nada,223,0.1,0.25,0.20210196779964223,0.24630238874073
vetorial,nada,224,0.0,0.0,0.1181881182428177,0.0
vetorial,nada,225,0.2,0.08333333333333333,0.05802389368699598,0.09799094631607551
vetorial,stopwords,1,0.5,0.17857142857142858,0.22356270621942737,0.43138542752616477
vetorial,stopwords,2,0.5,0.20833333333333334,0.19327830878238964,0.5733475280616471
vetorial,stopwords,3,0.6,0.75,0.6287371700879765,0.772231244151828
vetorial,stopwords,4,0.2,1.0,0.6,0.7903864795495061
vetorial,stopwords,5,0.1,0.25,0.1394179894179894,0.16992444743091037
vetorial,stopwords,6,0.1,0.25,0.0860098235098235,0.14067013006711881
vetorial,stopwords,7,0.2,0.4,0.13727893231003158,0.24174372856281692
vetorial,stopwords,8,0.1,0.09090909090909091,0.07009602475521703,0.08898358573137954
vetorial,stopwords,9,0.3,1.0,0.6428571428571429,0.8278123145308897
vetorial,stopwords,10,0.2,0.25,0.08964461487476359,0.18782917796446988
vetorial,stopwords,11,0.1,0.14285714285714285,0.14134246864849145,0.10176933156101466
vetorial,stopwords,12,0.2,0.4,0.24717529116909925,0.23376233170843608
vetorial,stopwords,13,0.0,0.0,0.0,0.0
vetorial,stopwords,14,0.2,1.0,0.6666666666666666,0.9406765852469334
vetorial,stopwords,15,0.2,1.0,0.8333333333333333,0.7601875334318685
vetorial,stopwords,16,0.1,0.3333333333333333,0.17936507936507937,0.23981246656813146
vetorial,stopwords,17,0.1,0.5,0.5161290322580645,0.7039180890341347
vetorial,stopwords,18,0.1,0.3333333333333333,0.0996031746031746,0.1815417925373527
vetorial,stopwords,19,0.0,0.0,0.013346085086239856,0.0
vetorial,stopwords,20,0.5,0.5555555555555556,0.5051587301587301,0.48674578679121405
vetorial,stopwords,21,0.1,0.25,0.13604102701019,0.24230258077527242
vetorial,stopwords,22,0.0,0.0,0.0,0.0
vetorial,stopwords,23,0.2,0.0625,0.13915449217670392,0.23538415023223674
vetorial,stopwords,24,0.2,0.6666666666666666,0.5578920041536863,0.7636451603657846
vetorial,stopwords,25,0.4,0.4444444444444444,0.47881758574504424,0.4945038612030776
vetorial,stopwords,26,0.2,0.3333333333333333,0.14540960129195424,0.2585174689554837
vetorial,stopwords,27,0.1,0.3333333333333333,0.11268939393939394,0.19004688335796713
vetorial,stopwords,28,0.0,0.0,0.001141552511415525,0.0
